,1981(3),1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003(11),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Jul 1981(12)-Dic 2019
APORTA FOMENTA(4),_,_,_,_,_,_,_,_,_,_,_,_,_,_,-2.64,4.09,3.87,-1.91,16.13,5.07,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
ARMONIZA,_,_,_,_,_,_,_,_,_,_,_,_,_,_,-3.12,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
ALAMEDA,16.55,29.78,21.37,4.44,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BANGUARDIA,_,_,_,_,_,_,_,_,_,_,_,_,14.96,15.73,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BANSANDER,_,_,_,_,_,_,_,_,_,_,_,_,15.82,18.80,-2.04,3.34,3.78,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BANSANDER,12.01,28.02,22.53,2.85,14.31,12.43,5.17,6.39,7.29,18.11,33.08,2.98,16.87,17.08,-2.06,3.20,4.74,-1.93,16.34,4.23,6.90,3.13,11.10,9.02,4.77,15.91,4.84,_,_,_,_,_,_,_,_,_,_,_,_,_
CAPITAL,11.26,30.17,20.91,2.95,13.01,11.84,5.08,5.86,6.47,14.57,30.06,2.97,16.32,17.82,-3.33,3.66,4.49,-0.82,16.00,4.55,6.99,2.92,10.51,8.05,4.48,15.77,5.19,-19.32,21.86,8.91,-4.18,4.63,4.32,8.52,2.07,1.63,7.56,-0.42,15.09,7.92
CONCORDIA,15.52,30.09,24.69,2.07,12.99,12.72,4.83,7.32,7.93,16.21,28.67,2.80,16.69,18.65,-2.41,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
CUPRUM,11.27,25.38,18.48,3.21,13.75,15.53,8.49,7.81,9.52,18.21,30.43,3.59,16.12,19.51,-1.79,3.59,4.31,-2.75,16.26,4.41,6.58,1.71,11.29,9.32,5.14,15.43,5.28,-19.52,23.12,10.27,-3.72,4.28,5.41,9.37,2.45,1.95,7.41,-1.17,14.36,8.29
EL LIBERTADOR,9.45,23.06,20.17,3.32,13.15,13.49,5.79,6.85,8.23,16.63,30.76,3.38,16.35,17.51,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
FOMENTA,_,_,_,_,_,_,_,_,_,_,_,_,_,21.10,-2.81,2.90,6.15,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
FUTURO,_,_,_,_,_,_,_,_,4.01,16.96,31.24,4.14,14.60,17.20,-4.58,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
GENERA,_,_,_,_,_,_,_,_,_,_,_,_,_,17.36,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
HABITAT,10.31,25.56,24.40,3.72,13.26,12.52,5.52,6.39,6.77,15.92,30.36,2.77,15.93,18.13,-2.79,3.80,5.75,-0.40,16.28,4.36,7.01,3.73,9.93,8.97,4.59,16.05,5.29,-17.64,22.98,9.78,-3.07,4.77,4.84,9.01,2.75,2.48,8.04,-0.75,14.68,8.26
INVIERTA,14.41,24.96,20.73,3.44,13.28,11.86,5.48,8.71,9.06,19.39,27.88,0.89,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
LABORAL,_,_,_,_,_,_,_,_,_,_,_,_,15.23,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MAGISTER,"5,28(7)",27.57,20.47,4.99,13.52,12.37,4.45,7.06,6.89,15.85,34.32,3.04,16.66,17.85,-3.25,3.47,4.41,-1.41,18.45,4.24,7.04,3.11,10.47,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MODELO,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,-2.92,4.98,4.51,7.07,2.35,2.76,7.51,-1.49,14.28,_
PLANVITAL,15.01,24.39,22.22,3.46,13.04,11.50,5.18,7.18,8.89,18.66,32.03,3.65,16.95,19.51,-2.61,3.32,4.68,-1.00,16.11,4.43,6.94,3.17,10.37,8.99,4.46,16.02,5.51,-17.66,20.89,9.27,-3.55,5.00,4.81,7.48,1.76,1.20,6.81,-0.91,14.24,8.18
PREVIPAN,_,_,_,_,_,_,_,_,_,_,_,_,14.90,18.81,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
PROTECCION,_,_,_,_,_,"10,55(8)",7.05,7.71,8.15,17.72,32.66,4.15,16.82,18.82,-2.10,3.52,4.72,-2.06,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
PROVIDA,14.29,29.48,20.33,4.05,13.49,11.81,5.14,6.30,5.85,13.31,25.84,3.10,15.90,17.86,-2.54,3.43,4.60,-0.09,16.21,4.52,6.43,3.01,10.51,8.82,4.28,15.65,4.55,-19.49,22.48,8.77,-4.16,4.61,4.37,9.29,1.56,1.01,7.07,-1.08,15.74,7.89
QUALITAS,_,_,_,_,_,_,_,_,_,_,_,_,15.60,18.23,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
QUALITAS,_,_,_,_,_,_,_,_,_,_,_,_,_,17.98,-3.04,3.18,2.41,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
SAN CRISTOBAL,12.90,27.51,20.66,3.94,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
UNION,_,_,_,_,"13,6(9)",13.39,6.29,7.07,8.66,17.15,30.89,2.75,16.37,18.54,-2.56,3.54,4.62,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
SISTEMA(10),12.80,28.51,21.25,3.56,13.42,12.29,5.41,6.49,6.92,15.62,29.68,3.04,16.21,18.18,-2.52,3.54,4.72,-1.14,16.26,4.44,6.74,2.98,10.55,8.86,4.58,15.77,4.99,-18.94,22.53,9.34,-3.79,4.61,4.68,9.00,2.16,1.74,7.51,-0.89,14.96,8.09
